时间(s),温度(摄氏度)
0.0,25.0
0.5,25.000000001463828
1.0,25.00000003534802
1.5,25.00000041245551
2.0,25.00000310602488
2.5,25.000017024323995
3.0,25.0000726878045
3.5,25.00025292593875
4.0,25.00074164880313
4.5,25.001882241654222
5.0,25.004227870862536
5.5,25.008566881524278
6.0,25.01591750954621
6.5,25.027497946322498
7.0,25.044682672602082
7.5,25.068954577167258
8.0,25.101859093543347
8.5,25.144963793291325
9.0,25.199824870607024
9.5,25.26796067510033
10.0,25.35083176079279
10.5,25.44982660194634
11.0,25.566252032103723
11.5,25.701327497031034
12.0,25.856182305984564
12.5,26.031855182524044
13.0,26.22929553493382
13.5,26.449365975654565
14.0,26.692845714996746
14.5,26.960434535383932
15.0,27.25275711916217
15.5,27.570367557214112
16.0,27.913753908910763
16.5,28.283342718196913
17.0,28.679503417413603
17.5,29.102552571264983
18.0,29.55275792932454
18.5,30.030342267651527
19.0,30.535487009252854
19.5,31.068335619156624
20.0,31.628996761442433
20.5,32.217547106344966
21.0,32.83403321472
21.5,33.47847060420951
22.0,34.15083576518353
22.5,34.851045030116396
23.0,35.57891614771941
23.5,36.33411617526059
24.0,37.11610913765686
24.5,37.92412069507003
25.0,38.75713070267028
25.5,39.61389308710591
26.0,40.49297438358904
26.5,41.39280077973035
27.0,42.31170592577036
27.5,43.247974790098105
28.0,44.19988120727104
28.5,45.16571837817327
29.0,46.14382254217462
29.5,47.1325905295569
30.0,48.13049209930645
30.5,49.13607799200123
31.0,50.147984560855285
31.5,51.164935737494396
32.0,52.18574297082738
32.5,53.209303663364565
33.0,54.23459852698253
33.5,55.26068819203616
34.0,56.28670933015905
34.5,57.311870490868
35.0,58.33544780357162
35.5,59.356780657969125
36.0,60.37526744541902
36.5,61.39036142012916
37.0,62.40156672067337
37.5,63.40843457827892
38.0,64.41055972765679
38.5,65.40757702814122
39.0,66.39915829697486
39.5,67.38500935226482
40.0,68.36486726006389
40.5,69.33849777792328
41.0,70.30569298587476
41.5,71.26626909496873
42.0,72.22006442307026
42.5,73.16693752749494
43.0,74.10676548417126
43.5,75.0394423032693
44.0,75.96487747161002
44.5,76.88299461259952
45.0,77.79373025492421
45.5,78.69703270173683
46.0,79.59286099258554
46.5,80.48118395083529
47.0,81.36197930983724
47.5,82.235232911567
48.0,83.10093797192418
48.5,83.95909440730087
49.0,84.80970821745436
49.5,85.65279092008365
50.0,86.48835903288378
50.5,87.31643359917217
51.0,88.13703975350354
51.5,88.95020632396532
52.0,89.75596546812483
52.5,90.55435233983219
53.0,91.34540478432257
53.5,92.12916305926072
54.0,92.9056695795712
54.5,93.67496868407012
55.0,94.43710642208096
55.5,95.19213035836609
56.0,95.94008939484206
56.5,96.68103360767886
57.0,97.41501409849062
57.5,98.14208285844431
58.0,98.8622926441977
58.5,99.57569686468102
59.0,100.2823494778073
59.5,100.98230489628317
60.0,101.675617901751
60.5,102.36234356656713
61.0,103.04253718256902
61.5,103.71625419624904
62.0,104.38355014978916
62.5,105.04448062746854
63.0,105.69910120698701
63.5,106.34746741529075
64.0,106.98963468852148
64.5,107.62565833573663
65.0,108.25559350608688
65.5,108.8794951591515
66.0,109.49741803817115
66.5,110.10941664592373
67.0,110.71554522302739
67.5,111.31585772845503
68.0,111.91040782208015
68.5,112.49924884907274
69.0,113.08243382599349
69.5,113.66001542843519
70.0,114.23204598008269
70.5,114.79857744306555
71.0,115.35966140949482
71.5,115.91534909407873
72.0,116.46569132772593
72.5,117.01073855204744
73.0,117.5505408146825
73.5,118.08514776537098
74.0,118.61460865271245
74.5,119.13897232154437
75.0,119.65828721089187
75.5,120.17260135242974
76.0,120.68196236941868
76.5,121.18641747606576
77.0,121.68601347727574
77.5,122.18079676875409
78.0,122.67081333743036
78.5,123.15610876217225
79.0,123.63672821476192
79.5,124.11271646111067
80.0,124.5841178626877
80.5,125.05097637814403
81.0,125.51333556510909
81.5,125.97123858214653
82.0,126.424728190849
82.5,126.87384675806072
83.0,127.31863625821182
83.5,127.75913827575364
84.0,128.19539400768306
84.5,128.62744426614626
85.0,129.05532948111082
85.5,129.47908970310084
86.0,129.89876460598276
86.5,130.31439348979956
87.0,130.72601528364234
87.5,131.13366854855698
88.0,131.5373914804778
88.5,131.93722191318514
89.0,132.33319732128078
89.5,132.72535482317818
90.0,133.11373118410384
90.5,133.49836281910515
91.0,133.87928579606287
91.5,134.2565358387058
92.0,134.63014832962165
92.5,135.00015831326942
93.0,135.36660049897907
93.5,135.7295092639519
94.0,136.08891865624344
94.5,136.44486239774355
95.0,136.7973738871369
95.5,137.1464862028568
96.0,137.49223210601804
96.5,137.8346440433407
97.0,138.17375415005063
97.5,138.50959425276957
98.0,138.84219587238022
98.5,139.17159022687957
99.0,139.49780823420645
99.5,139.8208805150548
100.0,140.14083739566266
100.5,140.45770891058365
101.0,140.77152480543495
101.5,141.08231453962614
102.0,141.39010728906518
102.5,141.69493194884413
103.0,141.9968171359009
103.5,142.29579119166243
104.0,142.59188218466142
104.5,142.885117913136
105.0,143.1755259076023
105.5,143.4631334334088
106.0,143.74796749326586
106.5,144.03005482975465
107.0,144.3094219278131
107.5,144.5860950171998
108.0,144.86010007493664
108.5,145.13146282772766
109.0,145.40020875435926
109.5,145.66636308807344
110.0,145.92995081892647
110.5,146.19099669611703
111.0,146.44952523030327
111.5,146.7055606958873
112.0,146.95912713328923
112.5,147.21024835119118
113.0,147.45894792876658
113.5,147.70524921788478
114.0,147.94917534529742
114.5,148.1907492148025
115.0,148.4299935093897
115.5,148.66693069336347
116.0,148.9015830144489
116.5,149.13397250587406
117.0,149.36412098843664
117.5,149.59205007254664
118.0,149.8177811602545
118.5,150.041335447255
119.0,150.26273392487587
119.5,150.48199738204593
120.0,150.69914640724386
120.5,150.91420139043024
121.0,151.12718252495856
121.5,151.338109809471
122.0,151.54700304977266
122.5,151.75388186069162
123.0,151.95876566791765
123.5,152.16167370982558
124.0,152.3626250392806
124.5,152.56163852542574
125.0,152.7587328554529
125.5,152.95392653635642
126.0,153.14723789667008
126.5,153.33868508818736
127.0,153.52828608766487
127.5,153.71605869850995
128.0,153.90202055245177
128.5,154.0861891111961
129.0,154.26858166806431
129.5,154.44921534961793
130.0,154.62810711726414
130.5,154.80527376885053
131.0,154.98073194023974
131.5,155.15449810687355
132.0,155.3265885853168
132.5,155.49701953479249
133.0,155.66580695869555
133.5,155.83296670609826
134.0,155.99851447323584
134.5,156.16246580498205
135.0,156.3248360963069
135.5,156.48564059372407
136.0,156.64489439672
136.5,156.8026124591739
137.0,156.95880959076018
137.5,157.11350045833967
138.0,157.26669958733686
138.5,157.41842136310262
139.0,157.5686800322669
139.5,157.7174897040741
140.0,157.8648643517098
140.5,158.01081781361125
141.0,158.15536379476794
141.5,158.29851586800729
142.0,158.44028747527065
142.5,158.58069192887334
143.0,158.71974241275672
143.5,158.85745198372456
144.0,158.99383357267004
144.5,159.1288999857892
145.0,159.26266390578382
145.5,159.39513789305232
146.0,159.52633438686908
146.5,159.65626570655206
147.0,159.78494405262026
147.5,159.91238150793865
148.0,160.0385900388537
148.5,160.16358149631537
149.0,160.28736761699184
149.5,160.40996002436967
150.0,160.53137022984725
150.5,160.6516096338134
151.0,160.7706895267203
151.5,160.8886210901412
152.0,161.00541539801316
152.5,161.12108342236192
153.0,161.23563608689668
153.5,161.3490846265937
154.0,161.46144226189472
154.5,161.57272987491567
155.0,161.68299048824315
155.5,161.79231754088767
156.0,161.93171880722102
156.5,162.07068515759207
157.0,162.21046686739953
157.5,162.3528233392442
158.0,162.49993348994423
158.5,162.65421462690435
159.0,162.81807773008893
159.5,162.99366024885754
160.0,163.18259894477887
160.5,163.38590403131977
161.0,163.60395457528404
161.5,163.8365840704538
162.0,164.08320494497045
162.5,164.34293386336898
163.0,164.61470018183763
163.5,164.8973322836365
164.0,165.18962225219653
164.5,165.49037197790005
165.0,165.79842446266525
165.5,166.11268381841026
166.0,166.43212693036276
166.5,166.75580914685503
167.0,167.08286580289965
167.5,167.4125109311555
168.0,167.7440341490134
168.5,168.07679643347848
169.0,168.4102252872205
169.5,168.7438096447007
170.0,169.0770947553886
170.5,169.4096771998829
171.0,169.74120013706118
171.5,170.07134883969945
172.0,170.3998465476397
172.5,170.72645064831204
173.0,171.05094918146574
173.5,171.37315765667822
174.0,171.69291616709395
174.5,172.0100867800309
175.0,172.32455118378806
175.5,172.63620856977434
176.0,172.94497372951042
176.5,173.25077534696814
177.0,173.55355446783793
177.5,173.8532631286138
178.0,174.1498631297057
178.5,174.44332493812027
179.0,174.73362670653208
179.5,175.02075340927058
180.0,175.30469627675518
180.5,175.58545384481434
181.0,175.86303992516125
181.5,176.13751176641418
182.0,176.4090380557417
182.5,176.6780170678625
183.0,176.9452229152322
183.5,177.34330253931944
184.0,177.74678728698845
184.5,178.16357829552572
185.0,178.60184839401273
185.5,179.06808741180708
186.0,179.5653136874225
186.5,180.09247659328472
187.0,180.64551272153784
187.5,181.21921372347768
188.0,181.80860951740422
188.5,182.40946002440367
189.0,183.01827466388409
189.5,183.63222330538764
190.0,184.249020865848
190.5,184.8668144652332
191.0,185.48409430160038
191.5,186.09962340337853
192.0,186.71238306475144
192.5,187.32153153939947
193.0,187.92637176607047
193.5,188.5263262632027
194.0,189.12091727956698
194.5,189.7097508037491
195.0,190.29250362957637
195.5,190.86891267999678
196.0,191.43876615059077
196.5,192.0018960818076
197.0,192.55817207786384
197.5,193.10749597552058
198.0,193.64979728362437
198.5,194.18502927656385
199.0,194.7131656317626
199.5,195.23419753089755
200.0,195.7481311562859
200.5,196.25498552442426
201.0,196.75479061096354
201.5,197.2475857252939
202.0,197.7334181019594
202.5,198.21234167893238
203.0,198.68441603819343
203.5,199.14970548700117
204.0,199.60827826121084
204.5,200.06020583479005
205.0,200.505562321416
205.5,200.94442395630975
206.0,201.37686864768915
206.5,201.80297558886738
207.0,202.22282517551537
207.5,202.63650215035406
208.0,203.04411632580315
208.5,203.44587762412849
209.0,203.84226924896572
209.5,204.23430654548497
210.0,204.6237642220632
210.5,204.94474576271588
211.0,205.26748703826965
211.5,205.59395654927857
212.0,205.92615463044805
212.5,206.26594714449777
213.0,206.61486816251383
213.5,206.973937215513
214.0,207.34357498989766
214.5,207.7236585890184
215.0,208.1136672581082
215.5,208.51283314705265
216.0,208.92025294172132
216.5,209.33496285197091
217.0,209.75598892773803
217.5,210.18237953907152
218.0,210.6132254184035
218.5,211.04767146923925
219.0,211.48492288150015
219.5,211.9242474249794
220.0,212.3649752340643
220.5,212.8064969456327
221.0,213.24826082661386
221.5,213.68976931649826
222.0,214.13057527860647
222.5,214.57027816457696
223.0,215.00852022309192
223.5,215.4449828410489
224.0,215.87938306995935
224.5,216.31147036749567
225.0,216.74102356854996
225.5,217.1678480884549
226.0,217.59177335443152
226.5,218.01265045619567
227.0,218.4303500040578
227.5,218.84476018122066
228.0,219.25578497629772
228.5,219.6633425820607
229.0,220.06736394670446
229.5,220.467791464539
230.0,220.86457779374064
230.5,221.25768478960177
231.0,221.64708254259506
231.5,222.0327485113658
232.0,222.4146667416449
232.5,222.79282716279482
233.0,223.16722495449525
233.5,223.53785997671426
234.0,223.9047362567834
234.5,224.26786152794878
235.0,224.62724681433326
235.5,224.98290605770813
236.0,225.33485578193947
236.5,225.68311479136176
237.0,226.02770389970914
237.5,226.3686456865573
238.0,226.70596427854048
238.5,227.03968515286095
239.0,227.3698349608803
239.5,227.69644136976723
240.0,228.019532920418
240.5,228.3391388999973
241.0,228.65528922766234
241.5,228.96801435212305
242.0,229.27734515987837
242.5,229.58331289303297
243.0,229.88594907575765
243.5,230.1852854485024
244.0,230.4813539092062
244.5,230.7741864607783
245.0,231.0638151642407
245.5,231.3502720969438
246.0,231.63358931536052
246.5,231.91379882198189
247.0,232.1909325359157
247.5,232.46502226679704
248.0,232.73609969169553
248.5,233.0041963346934
249.0,233.269343548887
249.5,233.53157250054238
250.0,233.79091415520793
250.5,234.04739926556402
251.0,234.3010583608509
251.5,234.5519217376962
252.0,234.80001945221474
252.5,235.04538131323218
253.0,235.28803687653775
253.5,235.52801544003307
254.0,235.76534603971425
254.5,236.00005744636937
255.0,236.23217816294397
255.5,236.46173642248294
256.0,236.6887601866009
256.5,236.91327714441906
257.0,237.13531471191953
257.5,237.35490003167217
258.0,237.5720599728934
258.5,237.78682113180113
259.0,237.99920983222975
259.5,238.20925212648214
260.0,238.4169737963836
260.5,238.62240035452243
261.0,238.82555704564888
261.5,239.0264686185451
262.0,239.2251557367271
262.5,239.4216092658913
263.0,239.61567904534184
263.5,239.8067517082472
264.0,239.99309856135466
264.5,240.17095022943974
265.0,240.33362600995292
265.5,240.4711357013714
266.0,240.5704325030149
266.5,240.61616664120092
267.0,240.59170680125354
267.5,240.55760364295057
268.0,240.507459128766
268.5,240.4401742284803
269.0,240.35472970583294
269.5,240.2502067418442
270.0,240.1258039616316
270.5,239.98084842456657
271.0,239.8147989177658
271.5,239.6272411941082
272.0,239.41787641976728
272.5,239.18650569879827
273.0,238.93301443012112
273.5,238.6573597619922
274.0,238.35956268038055
274.5,238.03970432611865
275.0,237.69792499236632
275.5,237.33442411690658
276.0,236.94946002073934
276.5,236.54334869387216
277.0,236.11646137652468
277.5,235.66922098224188
278.0,235.20209757294884
278.5,234.715603160901
279.0,234.21028611585297
279.5,233.68672542546898
280.0,233.14552501196692
280.5,232.5873082599573
281.0,232.01271286574192
281.5,231.42238607995594
282.0,230.8169803842536
282.5,230.19714961854248
283.0,229.56354555723541
283.5,228.91681492014823
284.0,228.2575967949925
284.5,227.58652044300268
285.0,226.90420345628223
285.5,226.21125023433973
286.0,225.50825074745183
286.5,224.79577955557394
287.0,224.07439505317976
287.5,223.3446389124198
288.0,222.60703569920298
288.5,221.8620926390525
289.0,221.1102995118338
289.5,220.35212865659895
290.0,219.58803506983344
290.5,218.81845658227698
291.0,218.04381410123858
291.5,217.26451190691083
292.0,216.48093799262705
292.5,215.69346444029298
293.0,214.9024478233886
293.5,214.1082296309515
294.0,213.3111367068793
294.5,212.51148169968366
295.0,211.70956351854446
295.5,210.9056677921364
296.0,210.10006732724128
296.5,209.29302256464823
297.0,208.48478203024365
297.5,207.67558277957605
298.0,206.86565083447098
298.5,206.05520161056938
299.0,205.24444033486986
299.5,204.43356245258647
300.0,203.62275402277706
300.5,202.81219210237586
301.0,202.00204511836273
301.5,201.19247322793285
302.0,200.38362866660185
302.5,199.57565608427498
303.0,198.76869286935718
303.5,197.9628694610488
304.0,197.15830965000123
304.5,196.35513086755526
305.0,195.55344446380343
305.5,194.75335597474515
306.0,193.95496537882067
306.5,193.15836734312134
307.0,192.36365145958132
307.5,191.57090247146823
308.0,190.78020049048385
308.5,189.9916212047953
309.0,189.2052360783117
309.5,188.42111254152056
310.0,187.63931417419042
310.5,186.85990088024957
311.0,186.08292905513275
311.5,185.30845174589442
312.0,184.5365188043666
312.5,183.7671770336449
313.0,183.00047032816516
313.5,182.2364398076393
314.0,181.4751239450939
314.5,180.7165586892674
315.0,179.96077758158802
315.5,179.20781186797603
316.0,178.45769060567355
316.5,177.71044076532968
317.0,176.96608732852755
317.5,176.22465338096725
318.0,175.4861602014733
318.5,174.75062734702723
319.0,174.018072733979
319.5,173.28851271562246
320.0,172.56196215627722
320.5,171.83843450204535
321.0,171.11794184837652
321.5,170.40049500459244
322.0,169.68610355549748
322.5,168.97477592021028
323.0,168.2665194083349
323.5,167.56134027359346
324.0,166.85924376503104
324.5,166.16023417590145
325.0,165.46431489033822
325.5,164.77148842790757
326.0,164.0817564861419
326.5,163.395119981139
327.0,162.71157908631767
327.5,162.03113326941283
328.0,161.3537813277822
328.5,160.67952142211254
329.0,160.00835110858293
329.5,159.34026736956835
330.0,158.6752666429366
330.5,158.0133448500136
331.0,157.35449742226479
331.5,156.69871932676446
332.0,156.04600509049175
332.5,155.3963488235223
333.0,154.74974424115018
333.5,154.1061846850029
334.0,153.46566314318002
334.5,152.828172269475
335.0,152.1937044017054
